Y,J,F,M,A,M,J,J,A,S,O,N,D
2016,-451,1080,818,-15,236,906,-1054,-59,499,-99,369,-266
2015,-1675,782,-891,253,659,-270,425,1813,355,-1494,-184,445
2014,-365,1228,225,353,82,-232,357,-15,7,1309,328,1566
2013,166,298,575,896,350,189,-88,335,1435,32,664,601
2012,-44,410,352,551,167,452,524,-264,-7,-562,342,29
2011,314,-215,285,89,-161,1072,55,-222,738,-39,-765,173
2010,-442,-107,73,509,395,1383,-268,-128,-746,204,637,478
2009,-147,268,44,559,182,-36,-140,405,55,538,1017,324
2008,-593,-323,-287,-731,358,134,710,-270,29,2378,330,819
2007,82,541,611,-43,629,287,702,-615,426,-60,257,377
